s,t,Open,High,Low,Close,Volume,Date
ok,1542240000,1086.65,1092.64,1076.3,1086.55,6896500,2018-11-15 05:30:00
ok,1542326400,1087.64,1119.34,1086.8,1116.81,11136464,2018-11-16 05:30:00
ok,1542585600,1122.26,1140.89,1120.38,1139.2,7378265,2018-11-19 05:30:00
ok,1542672000,1134.25,1145.05,1119.39,1126.72,5774122,2018-11-20 05:30:00
ok,1542758400,1126.82,1134.74,1096.65,1102.45,7578981,2018-11-21 05:30:00
ok,1542844800,1104.03,1114.78,1089.77,1092.49,5847478,2018-11-22 05:30:00
ok,1543190400,1098.59,1107.01,1087.1,1099.33,6447096,2018-11-26 05:30:00
ok,1543276800,1097.5,1119.39,1095.07,1117.61,6874784,2018-11-27 05:30:00
ok,1543363200,1121.82,1146.88,1115.72,1141.83,8079836,2018-11-28 05:30:00
ok,1543449600,1150.1,1168.82,1149.11,1157.53,12755951,2018-11-29 05:30:00
ok,1543536000,1161.29,1174.86,1151.39,1156.59,10819042,2018-11-30 05:30:00
ok,1543795200,1163.87,1163.87,1137.72,1145.59,5622374,2018-12-03 05:30:00
ok,1543881600,1147.13,1147.13,1131.47,1141.48,5242050,2018-12-04 05:30:00
ok,1543968000,1133.01,1147.92,1128.6,1144.3,5874784,2018-12-05 05:30:00
ok,1544054400,1138.21,1138.21,1107.75,1113.1,5921715,2018-12-06 05:30:00
ok,1544140800,1118.84,1126.27,1097.94,1123.15,7282463,2018-12-07 05:30:00
ok,1544400000,1099.58,1103.84,1072.93,1080.01,9470475,2018-12-10 05:30:00
ok,1544486400,1055.99,1091.75,1045.09,1087.24,13622585,2018-12-11 05:30:00
ok,1544572800,1088.68,1103.04,1077.54,1100.07,12724922,2018-12-12 05:30:00
ok,1544659200,1117.41,1117.41,1084.77,1096.65,9385652,2018-12-13 05:30:00
ok,1544745600,1092.74,1104.43,1081.55,1101.76,7289777,2018-12-14 05:30:00
ok,1545004800,1105.47,1122.36,1101.06,1119.29,5112364,2018-12-17 05:30:00
ok,1545091200,1112.75,1128.3,1109.98,1125.73,5926580,2018-12-18 05:30:00
ok,1545177600,1130.78,1136.53,1122.56,1126.13,7438650,2018-12-19 05:30:00
ok,1545264000,1110.47,1121.87,1105.67,1117.85,5819377,2018-12-20 05:30:00
ok,1545350400,1114.44,1120.63,1085.71,1089.87,8360448,2018-12-21 05:30:00
ok,1545609600,1090.56,1092.84,1076.35,1078.92,4183822,2018-12-24 05:30:00
ok,1545782400,1075.6,1089.67,1055.64,1088.04,7278406,2018-12-26 05:30:00
ok,1545868800,1096.8,1116.42,1093.63,1109.68,12596283,2018-12-27 05:30:00
ok,1545955200,1114.93,1124.59,1110.67,1114.98,7738685,2018-12-28 05:30:00
ok,1546214400,1120.33,1123.2,1105.72,1110.72,7291284,2018-12-31 05:30:00
ok,1546300800,1114.68,1116.71,1099.68,1110.47,4498088,2019-01-01 05:30:00
ok,1546387200,1104.03,1116.42,1090.66,1096.01,7212700,2019-01-02 05:30:00
ok,1546473600,1097.1,1104.13,1079.86,1082.49,7517044,2019-01-03 05:30:00
ok,1546560000,1087.1,1094.08,1070.95,1088.33,8545385,2019-01-04 05:30:00
ok,1546819200,1096.6,1107.95,1090.66,1094.38,5565824,2019-01-07 05:30:00
ok,1546905600,1094.72,1099.53,1085.71,1094.28,5678476,2019-01-08 05:30:00
ok,1546992000,1101.56,1106.51,1088.38,1100.32,5821470,2019-01-09 05:30:00
ok,1547078400,1097.35,1100.57,1092.64,1097.1,4118961,2019-01-10 05:30:00
ok,1547164800,1097.2,1103.34,1078.38,1087.74,6525176,2019-01-11 05:30:00
ok,1547424000,1084.72,1090.17,1076.2,1086.5,4150759,2019-01-14 05:30:00
ok,1547510400,1094.62,1121.37,1094.62,1119.04,10158264,2019-01-15 05:30:00
ok,1547596800,1124.34,1134.25,1119.74,1125.23,6443281,2019-01-16 05:30:00
ok,1547683200,1133.7,1137.12,1119.39,1123.8,7558944,2019-01-17 05:30:00
ok,1547769600,1138.01,1178.73,1124.59,1173.23,25927610,2019-01-18 05:30:00
ok,1548028800,1182.79,1228.31,1177.49,1226.08,22247445,2019-01-21 05:30:00
ok,1548115200,1221.27,1235.24,1208.15,1223.55,16709729,2019-01-22 05:30:00
ok,1548201600,1221.72,1232.52,1210.53,1214.78,8913200,2019-01-23 05:30:00
ok,1548288000,1213.5,1241.43,1208.64,1235.74,13279887,2019-01-24 05:30:00
ok,1548374400,1238.71,1252.82,1223.8,1234.3,8631892,2019-01-25 05:30:00
ok,1548633600,1238.76,1244.16,1210.92,1218.0,8650496,2019-01-28 05:30:00
